course,requests_for_more_information,course_related_downloads,related_webinars_events
Psychology,15,20,2
Organic Chemistry I,12,18,3
Computer Science,18,22,4
Principles of Microeconomics,10,15,1
English Composition I,20,25,3
Mathematics,14,20,2
Sociology,16,18,2
Principles of Marketing,18,20,3
Physics,10,15,1
Spanish Language and Culture I,12,18,2
Art and Design,14,20,2
Environmental Science,16,18,2
Political Science,18,20,3
French,10,15,1
Music,12,18,2
Anthropology,15,20,2
Engineering,18,22,4
Computer Networks,20,25,3
Philosophy,14,20,2
Digital Marketing,16,18,2
